antibody,TSNE1,TSNE2,group,show_name
OC220225-SN0235,-20.117655,10.7781105,B_Omi,BD56-235
OC220225-SN0236,45.388035,4.436962,D_Omi,BD56-236
OC220225-SN0266,-15.145407,-5.803071,F3_Omi,BD56-266
OC220225-SN0267,-13.411064,-11.249796,F3_Omi,BD56-267
OC220225-SN0268,46.08859,8.87069,D_Omi,BD56-268
OC220225-SN0269,-16.721214,2.1451325,B_Omi,BD56-269
OC220225-SN0272,43.47446,12.464624,D_Omi,BD56-272
OC220225-SN0273,-16.344305,-9.4672785,F3_Omi,BD56-273
OC220225-SN0274,-18.448715,7.7613497,B_Omi,BD56-274
OC220225-SN0275,-16.193632,-2.9875252,F3_Omi,BD56-275
OC220225-SN0276,-18.489975,2.920385,B_Omi,BD56-276
OC220225-SN0277,-17.30677,7.2538533,B_Omi,BD56-277
OC220225-SN0280,47.38443,10.894571,D_Omi,BD56-280
OC220225-SN0281,42.410275,6.627275,D_Omi,BD56-281
OC220225-SN0282,47.109432,8.172022,D_Omi,BD56-282
OC220225-SN0284,-2.1671124,-12.998112,F3_Omi,BD56-284
OC220225-SN0285,-16.839191,1.1777613,B_Omi,BD56-285
OC220225-SN0286,46.590942,4.3934836,D_Omi,BD56-286
OC220225-SN0290,-6.616877,-13.829992,F3_Omi,BD56-290
OC220225-SN0291,-22.090042,11.145285,B_Omi,BD56-291
OC220225-SN0292,6.023104,-10.426842,A_Omi,BD56-292
OC220225-SN0296,-11.910248,-17.648535,F3_Omi,BD56-296
OC220225-SN0301,2.2104187,-12.571388,A_Omi,BD56-301
OC220225-SN0302,2.754375,-7.9408636,A_Omi,BD56-302
OC220225-SN0308,-18.301193,0.7187992,B_Omi,BD56-308
OC220225-SN0309,45.589916,13.757475,D_Omi,BD56-309
OC220225-SN0310,-5.147347,-13.3322115,F3_Omi,BD56-310
OC220225-SN0313,2.3683712,-3.102313,A_Omi,BD56-313
OC220225-SN0323,45.713955,5.2762446,D_Omi,BD56-323
OC220225-SN0336,-16.215605,-12.822925,F3_Omi,BD56-336
OC220225-SN0340,-9.408197,-12.546918,F3_Omi,BD56-340
OC220225-SN0343,-15.311815,4.8580275,B_Omi,BD56-343
OC220225-SN0344,-15.248435,5.6595974,B_Omi,BD56-344
OC220225-SN0345,46.339817,10.195415,D_Omi,BD56-345
OC220225-SN0351,45.69403,7.681382,D_Omi,BD56-351
OC220225-SN0353,-20.540781,14.018122,B_Omi,BD56-353
OC220302-SN0734,-7.5274444,-14.4256735,F3_Omi,BD56-734
OC220302-SN0749,-6.068494,-15.565787,F3_Omi,BD56-749
OC220302-SN0756,43.83185,5.6922092,D_Omi,BD56-756
OC220302-SN0761,4.9764566,-9.717394,A_Omi,BD56-761
OC220302-SN0762,-2.9918242,-14.882371,F3_Omi,BD56-762
OC220302-SN0767,-14.100278,3.5827765,B_Omi,BD56-767
OC220302-SN0776,1.6853942,-4.766374,A_Omi,BD56-776
OC220302-SN0780,3.4253507,-13.34139,A_Omi,BD56-780
OC220302-SN0781,-21.14833,8.2890835,B_Omi,BD56-781
OC220302-SN0785,-19.333866,11.695914,B_Omi,BD56-785
OC220302-SN0786,-16.590033,-11.589954,F3_Omi,BD56-786
OC220302-SN0788,-17.718138,0.55018544,B_Omi,BD56-788
OC220302-SN0789,-16.646069,7.4358053,B_Omi,BD56-789
OC220302-SN0794,44.000065,4.394322,D_Omi,BD56-794
OC220302-SN0797,1.6138163,-3.2678525,A_Omi,BD56-797
OC220302-SN0798,-11.118005,-12.86512,F3_Omi,BD56-798
OC220302-SN0799,-10.15354,-13.449899,F3_Omi,BD56-799
OC220302-SN0800,48.293476,11.64572,D_Omi,BD56-800
OC220302-SN0802,46.92957,9.7497635,D_Omi,BD56-802
OC220302-SN0804,3.6237335,-8.903009,A_Omi,BD56-804
OC220302-SN0807,-12.570002,-11.814416,F3_Omi,BD56-807
OC220302-SN0811,-8.782449,-13.944333,F3_Omi,BD56-811
OC220302-SN0814,-0.4970987,-11.636283,A_Omi,BD56-814
OC220302-SN0816,-4.3612313,-12.9635315,F3_Omi,BD56-816
OC220302-SN0817,2.5649545,-6.2988915,A_Omi,BD56-817
OC220302-SN0818,-8.305368,-13.166197,F3_Omi,BD56-818
OC220302-SN0819,-16.541151,12.79757,B_Omi,BD56-819
OC220302-SN0822,43.90911,11.580417,D_Omi,BD56-822
OC220302-SN0823,-19.350964,9.93782,B_Omi,BD56-823
OC220302-SN0824,-16.408766,8.729459,B_Omi,BD56-824
OC220302-SN0825,2.8847601,-5.2834797,A_Omi,BD56-825
OC220302-SN0826,0.73119557,-10.742155,A_Omi,BD56-826
OC220302-SN0827,44.648003,11.885174,D_Omi,BD56-827
OC220302-SN0828,-9.687233,-14.36584,F3_Omi,BD56-828
OC220302-SN0829,-21.209818,13.70902,B_Omi,BD56-829
OC220302-SN0831,-17.377707,12.092541,B_Omi,BD56-831
OC220302-SN0832,4.5616083,-7.801134,A_Omi,BD56-832
OC220302-SN0833,-2.4897926,-14.69619,F3_Omi,BD56-833
OC220302-SN0835,-19.685972,7.029351,B_Omi,BD56-835
OC220302-SN0836,44.405106,8.304792,D_Omi,BD56-836
OC220302-SN0838,-15.855374,-11.128939,F3_Omi,BD56-838
OC220302-SN0839,42.403854,5.949273,D_Omi,BD56-839
OC220302-SN0841,-20.411028,8.898881,B_Omi,BD56-841
OC220302-SN0843,-12.2371855,-17.732136,F3_Omi,BD56-843
OC220302-SN0848,-14.378385,-11.125905,F3_Omi,BD56-848
OC220302-SN0850,3.0720272,-12.293019,A_Omi,BD56-850
OC220302-SN0854,45.016357,8.883662,D_Omi,BD56-854
OC220302-SN0858,-21.92176,6.7025437,B_Omi,BD56-858
OC220302-SN0860,-14.492611,-12.335116,F3_Omi,BD56-860
OC220302-SN0862,2.0030942,-8.643909,A_Omi,BD56-862
OC220302-SN0864,-8.42313,-15.379553,F3_Omi,BD56-864
OC220302-SN0865,-18.118738,14.314912,B_Omi,BD56-865
OC220302-SN0866,-20.605844,12.6204195,B_Omi,BD56-866
OC220302-SN0867,-20.727053,7.259609,B_Omi,BD56-867
OC220302-SN0871,46.638313,11.583433,D_Omi,BD56-871
OC220302-SN0872,-13.675001,-12.587547,F3_Omi,BD56-872
OC220302-SN0874,-3.9931252,-12.128087,F3_Omi,BD56-874
OC220302-SN0877,1.7144729,-7.5131483,A_Omi,BD56-877
OC220302-SN0879,-20.788376,9.673345,B_Omi,BD56-879
OC220302-SN0880,-7.1688533,-16.967274,F3_Omi,BD56-880
OC220302-SN0882,-22.078356,5.3414483,B_Omi,BD56-882
OC220302-SN0883,-15.94265,-3.3152692,F3_Omi,BD56-883
OC220302-SN0887,-22.593082,10.8387375,B_Omi,BD56-887
OC220302-SN0888,41.37723,6.195198,D_Omi,BD56-888
OC220302-SN0890,1.7696741,-12.019454,A_Omi,BD56-890
OC220302-SN0894,-14.421215,-8.4988165,F3_Omi,BD56-894
