show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
OC220225-SN0235	OC220225-SN0235	Inf	Inf*	0.0352627	0.02256043	0.0334593	0.0363219	0.0365284	0.0316008	Inf	--	--	--	--	--	0	2	0.2482	0.0396	0.2628	0.1066	0.1809	0.0771	0.0645	0.0331	0.1335	0.0254	0.1142	0.0614	0.0278	0.0617	0.0418	0.0637	0.1442	0.0473	0.0789	0.0323	0.1745	0.0407	3.9692	3.99	0.63024055
OC220225-SN0236	OC220225-SN0236	Inf	Inf*	0.000842026	0.000926013	0.00264962	0.00188667	0.00288026	0.000763702	0.00348883	--	--	--	--	--	0	2	0.284	0.0588	0.2786	0.1006	0.1537	0.0528	0.106	0.0714	0.1178	0.0555	0.1472	0.0971	0.0647	0.0316	0.0482	0.078	0.1032	0.0736	0.1114	0.088	0.2572	0.0811	3.9657	3.8319	0.819600499
OC220225-SN0266	OC220225-SN0266	Inf	Inf*	0.003354	0.00210372	0.0347039	0.0345582	0.0344628	0.00367682	Inf	--	--	--	--	--	0	2	0.0249	0.0119	0.1198	0.0166	0.021	0.0145	0.0153	0.0119	0.0143	0.0084	0.0125	0.0138	0.0107	0.0086	0.0101	0.0122	0.0154	0.0138	0.0117	0.013	0.0601	0.0101	3.8637	3.9892	0.650102459
OC220225-SN0267	OC220225-SN0267	Inf	Inf*	0.00295277	0.00280378	1.67882	0.864075	1.920126	0.44953	2.51579	--	--	--	--	--	0	2	0.0491	0.0147	0.1721	0.0204	0.0344	0.0126	0.0254	0.0147	0.0158	0.0098	0.0162	0.0174	0.0129	0.0126	0.0217	0.0117	0.0156	0.0132	0.0228	0.0133	0.0647	0.0149	3.6264	3.84	0.807703531
OC220225-SN0268	OC220225-SN0268	Inf	Inf*	0.0259704	0.018554	0.0460449	0.03788	0.04664	0.03658214	0.0410428	--	--	--	--	--	0	2	0.0403	0.0152	0.1225	0.02	0.0265	0.0147	0.0173	0.0141	0.0197	0.01	0.0173	0.0162	0.0147	0.0177	0.0129	0.0117	0.0194	0.0183	0.0249	0.0123	0.0631	0.0144	3.6029	3.8326	0.805490994
OC220225-SN0269	OC220225-SN0269	Inf	Inf*	0.00224378	0.00196493	0.016283	0.0187	0.0144732	0.00869356	Inf	--	--	--	--	--	0	2	0.0483	0.0153	0.1652	0.0178	0.0272	0.0198	0.0159	0.0102	0.0197	0.0083	0.0255	0.0112	0.0105	0.0112	0.0106	0.0161	0.0336	0.0126	0.0204	0.0114	0.0863	0.0082	3.5352	3.8884	0.916579302
OC220225-SN0272	OC220225-SN0272	Inf	Inf*	0.0131787	0.00668561	0.187447	0.145806	0.205439	0.013161	0.161981	--	--	--	--	--	1	2	0.0854	0.0197	0.1419	0.0341	0.0809	0.0774	0.0176	0.0094	0.0658	0.0082	0.0805	0.0178	0.012	0.0103	0.0234	0.0191	0.1603	0.0122	0.0646	0.009	0.1739	0.0092	3.9017	3.9924	0.660280919
OC220225-SN0273	OC220225-SN0273	Inf	Inf*	0.00134466	0.0011167	0.00251569	0.00475018	0.00299599	0.00118724	0.938959	--	--	--	--	--	0	2	0.0785	0.0136	0.1776	0.0338	0.0787	0.0409	0.0148	0.0091	0.0546	0.0086	0.0366	0.0118	0.0133	0.0107	0.021	0.0162	0.0823	0.0124	0.0285	0.0086	0.0998	0.0099	3.9564	4.0358	0.91008213
OC220225-SN0274	OC220225-SN0274	Inf	Inf*	0.000785122	0.00109629	0.00109677	0.00118147	0.00102199	0.00123566	Inf	--	--	--	--	--	0	2	0.0319	0.0342	0.1668	0.0138	0.021	0.0106	0.0142	0.0109	0.0156	0.0101	0.014	0.0118	0.0127	0.0092	0.0097	0.0099	0.0173	0.0158	0.0127	0.0104	0.0652	0.0117	3.7723	3.9408	0.760081328
OC220225-SN0275	OC220225-SN0275	Inf	Inf*	0.162465	0.427647	0.389672	8.40978	0.444671	0.304714	Inf	--	--	--	--	--	0	2	0.0972	0.0382	0.1563	0.0491	0.0595	0.0305	0.047	0.0235	0.0423	0.0287	0.0519	0.048	0.0306	0.0429	0.028	0.0247	0.0177	0.0288	0.028	0.0217	0.0716	0.0219	3.4678	3.8054	0.768876317
