,D614G_IC50,Omicron_IC50,BA2_IC50,BA3_IC50,SARS_IC50,R346K_IC50,BA2_12_1_IC50,BA4_IC50,BA2_13_IC50,source_group,group
BD30-196,1.9289,10,10,10,10,10,10,10,10,WT,C
BD30-218,0.0104,NA,NA,NA,10,NA,0.0156496,NA,NA,WT,A
BD30-236,0.0173,10,10,10,10,10,10,10,10,WT,A
BD30-254,0.25,10,10,10,10,10,10,10,10,WT,C
BD30-255,0.1132,NA,NA,NA,10,NA,10,NA,NA,WT,B
BD30-319,0.1374,10,10,10,10,10,10,10,10,WT,B
BD30-320,2.49,NA,NA,NA,NA,NA,2.551848,NA,NA,WT,F2
BD30-362,0.2115,10,10,10,10,10,10,10,10,WT,C
BD30-368,0.0194,10,10,10,10,10,10,10,10,WT,C
BD30-369,0.013,5.253,5.0513,7.221,10,6.22538,6.03415,8.33626,5.1029,WT,A
BD30-380,0.48,0.926338,NA,NA,10,1.14943,1.219644,NA,NA,WT,E2.2
BD30-395,0.0389,NA,NA,NA,10,NA,0.2347563,NA,NA,WT,A
BD30-397,0.2498,10,10,10,10,10,10,10,10,WT,C
BD30-403,0.2054,10,10,10,10,10,10,10,10,WT,C
BD30-417,0.0442,10,10,10,10,10,10,10,10,WT,B
BD30-418,0.051,NA,NA,NA,10,NA,1.899498,NA,NA,WT,A
BD30-421,0.71,NA,NA,NA,10,NA,10,NA,NA,WT,E2.2
BD30-449,0.243,10,10,10,10,10,10,10,10,WT,F3
BD30-467,0.0058,3.2512,5.18051,2.919,10,4.77733,4.629341,2.80939,3.55691,WT,D2
BD30-494,0.343,10,10,10,10,10,10,10,10,WT,A
BD30-498,0.0626,10,10,10,10,10,10,10,10,WT,A
BD30-500,0.0754,10,10,10,10,10,10,10,10,WT,A
BD30-503,0.0108,10,10,10,10,10,10,10,10,WT,A
BD30-504,0.033,10,10,10,10,10,10,10,10,WT,A
BD30-505,0.0147,NA,NA,NA,10,NA,1.251777,NA,NA,WT,A
BD30-507,0.0565,10,10,10,10,10,10,10,10,WT,A
BD30-508,0.0271,10,NA,NA,10,NA,0.0501495,NA,NA,WT,A
BD30-515,0.0369,0.0046659,0.00491,0.0103718,10,0.00570976,0.00686837,0.00586556,0.0067856,WT,A
BD30-536,2.6,10,10,10,10,10,10,10,10,WT,C
BD30-566,0.0041,1.7,2.63891,2.224,10,0.941486,1.61911,7.3916,1.533615,WT,B
BD30-593,0.00141628,10,10,10,10,10,10,10,10,WT,C
BD30-598,0.0769,10,10,10,10,10,10,10,10,WT,A
BD30-599,0.15,10,10,10,10,10,10,10,10,WT,A
BD30-604,0.011002304,0.284779009,0.2193,0.2590979,10,0.198321,0.201,6.26434,0.1478379,WT,A
BD30-605,0.0935,10,10,10,10,10,10,10,10,WT,A
BD30-612,0.03,5.4776,3.07479,2.991,10,9.3073,4.89,4.871,3.1094,WT,A
BD30-613,0.0348,NA,NA,NA,10,NA,0.02321478,NA,NA,WT,A
BD30-614,0.0431,0.03754,0.0277739,0.0224,10,0.0282652,0.0226897,0.0312,0.02742739,WT,A
BD30-616,0.0585,10,10,10,10,10,10,10,10,WT,A
BD30-618,0.0267,0.049,0.0649826,0.0331,10,0.0510771,0.0552528,0.0551462,0.02798537,WT,A
BD30-619,0.12,10,10,10,10,10,10,10,10,WT,A
BD30-623,0.0017,10,10,10,10,10,10,10,10,WT,B
BD30-628,1,NA,NA,NA,10,NA,10,NA,NA,WT,A
BD30-629,0.0097,1.55581,2.10725,1.672,10,1.10061,1.613943,1.863692,2.02773,WT,A
BD45-1,0.074050483,0.361495726,0.918483952,0.9721,0.0313172,0.31396,0.98891,0.791735,0.700244,SARS,E1
BD45-3,0.005648572,10,10,10,10,8.912,10,10,9.221,WT,B
BD45-4,0.005727312,10,0.589611631,10,10,10,0.4991325,0.52012,0.416725,WT,D2
