,D614G_IC50,Omicron_IC50,BA2_IC50,BA3_IC50,SARS_IC50,R346K_IC50,BA2_12_1_IC50,BA4_IC50,BA2_13_IC50,source_group,group
BD45-7,0.0312,10,10,10,10,10,10,10,10,WT,D1
BD45-9,0.36984,10,10,10,0.17961,10,10,10,10,WT,F2
BD45-11,0.01501912,10,10,10,10,10,10,10,10,WT,C
BD45-12,0.001570807,5.419478231,4.311707936,5.6089,10,4.76443,5.521,10,3.5912,WT,B
BD45-13,0.002498028,3.006854359,0.006285423,0.01124519,10,10,0.010981,0.02341,0.006629,WT,D1
BD45-14,3.8566,8.1,10,10,0.14,10,10,10,10,SARS,F1
BD45-15,0.0029,10,10,10,10,10,10,10,10,WT,C
BD45-16,0.05889,10,10,10,10,10,10,10,10,WT,F3
BD45-17,0.018,10,10,10,10,10,10,10,10,WT,C
BD45-18,5e-04,0.13532,0.179473,0.208128,10,0.128897,0.1540026,10,0.16778,WT,B
BD45-19,10,10,10,10,10,10,10,10,10,WT,F2
BD45-20,0.0438,10,10,10,10,10,10,10,10,WT,A
BD45-21,0.053170405,7.117648832,8.529595734,7.8332,10,6.3242,7.62,7.124,6.902,WT,A
BD45-22,0.1326,10,10,10,10,10,10,10,10,WT,C
BD45-25,0.0522,10,10,10,10,10,10,10,10,WT,A
BD45-26,0.0536,10,10,10,10,10,10,10,10,WT,A
BD45-27,0.3822,10,10,10,10,10,10,10,10,WT,C
BD45-30,10,10,10,10,10,10,10,10,10,WT,F1
BD45-31,0.4678,10,10,10,0.0102,10,10,10,10,SARS,F2
BD45-32,0.0086,10,10,10,10,10,10,10,10,WT,C
BD45-33,0.0053,10,10,10,10,10,10,10,10,WT,A
BD45-34,0.0021,10,10,10,10,10,10,10,10,WT,D1
BD45-35,0.00169,NA,NA,NA,10,NA,10,NA,NA,WT,A
BD45-36,10,NA,NA,NA,NA,NA,10,NA,NA,SARS,F2
BD45-37,0.0024,10,NA,NA,10,NA,10,NA,NA,WT,A
BD45-38,0.027,10,10,10,10,10,10,10,10,WT,D1
BD45-39,10,10,10,10,10,10,10,10,10,WT,E2.2
BD45-40,0.01904,NA,NA,NA,10,NA,0.498297,NA,NA,WT,A
BD45-41,0.0036,10,10,10,10,10,10,10,10,WT,C
BD45-42,4e-04,10,10,10,10,10,10,10,10,WT,C
BD45-43,0.0016,10,10,10,10,10,10,10,10,WT,A
BD45-44,0.00064,0.097,0.670277,0.88172,10,0.779465,1.276554,10,0.614714,WT,B
BD45-45,0.00059,10,10,10,10,10,10,10,10,WT,B
BD45-46,0.0023,0.0296,0.0229,0.301743,10,0.0361931,0.2362662,0.2978239,0.270037,WT,A
BD45-48,0.084,10,10,10,10,10,10,10,10,WT,A
BD45-49,4e-04,10,10,10,10,10,10,10,10,WT,B
BD45-50,0.287,10,10,10,10,10,10,10,10,WT,A
BD45-51,0.2531,3.4,10,10,10,10,10,10,10,WT,E3
BD45-52,0.0027,10,10,10,10,10,10,10,10,WT,A
BD45-53,0.0112,10,10,10,10,10,10,10,10,WT,A
BD45-54,0.032045087,10,10,10,10,10,10,10,10,WT,A
BD45-55,0.0404,10,NA,NA,10,NA,10,NA,NA,WT,E1
BD45-56,0.0037,10,10,10,10,10,10,10,10,WT,A
BD45-57,0.0056,10,10,10,10,10,10,10,10,WT,A
BD45-58,0.0112,10,10,10,10,10,10,10,10,WT,A
BD45-59,0.0034,10,10,10,10,10,10,10,10,WT,A
BD45-60,0.00739,10,10,10,10,10,10,10,10,WT,C
BD45-61,0.04415,NA,NA,NA,10,NA,10,NA,NA,WT,A
BD45-62,0.0087,10,10,10,10,10,10,10,10,WT,C
BD45-63,0.1454,10,10,10,10,10,10,10,10,WT,D1
BD45-64,0.075,10,10,10,10,10,10,10,10,WT,D1
BD45-65,0.0983,10,10,10,10,10,10,10,10,WT,A
BD45-67,0.1269,10,10,10,10,10,10,10,10,WT,A
BD45-68,0.0655,10,10,10,10,10,10,10,10,WT,C
BD45-70,0.0015,10,0.542518,10,10,10,0.639295,0.8893,0.55454,WT,D2
BD45-71,0.0031,10,10,10,9e-04,10,10,10,10,WT,E1
BD45-72,8e-04,10,10,10,10,10,10,10,10,WT,B
BD45-74,2.1959,10,10,10,10,10,10,10,10,WT,A
BD45-75,10,10,10,10,10,10,10,10,10,WT,C
BD45-77,0.0017,10,10,10,10,10,10,10,10,WT,C
BD45-79,0.0065,10,10,10,10,10,10,10,10,WT,D1
BD45-103,0.0285683,10,10,10,0.179957,10,10,10,10,WT,F3
BD45-104,0.146087366,1.565983208,10,1.681823,0.0461702,2.3412,10,10,10,WT,F2
BD45-105,0.573711996,2.56281985,2.704481672,1.63666,10,2.2312,2.532,2.788,3.00245,WT,E3
BD45-109,0.0794,10,10,10,10,10,10,10,10,WT,A
BD45-111,0.0033,10,10,10,10,10,10,10,10,WT,B
BD45-112,3.15093,10,10,10,10,10,10,10,10,WT,A
BD45-113,0.00624651,NA,NA,NA,10,NA,0.0761362,NA,NA,WT,A
BD45-115,0.0504,10,10,10,10,10,10,10,10,WT,A
BD45-116,0.368001,10,10,10,0.634164,10,10,10,10,WT,E1
BD45-117,0.100661,0.262135,0.153624,0.2012,10,0.373861,0.193501,1.18609,0.144589,WT,E2.2
BD45-118,10,10,10,10,10,10,10,10,10,SARS,F2
BD45-119,0.488717,NA,NA,NA,10,NA,10,NA,NA,WT,F3
BD45-121,0.0092,10,10,10,10,10,10,10,10,WT,C
BD45-122,0.1864,10,10,10,10,10,10,10,10,WT,A
BD45-123,0.0259,10,10,10,10,10,10,10,10,WT,A
BD45-127,10,10,10,10,10,10,10,10,10,WT,D2
BD45-129,2e-04,10,10,10,10,10,10,10,10,WT,C
BD45-130,0.7385,10,10,10,10,10,10,10,10,WT,C
BD45-131,0.0107277,10,10,10,10,10,10,10,10,WT,C
BD45-132,10,10,10,10,10,10,10,10,10,WT,F2
BD45-133,0.00462517,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD45-134,0.0038,2.981,2.03932,2.651,10,2.66349,2.731373,10,0.924814,WT,B
BD45-135,10,10,10,10,10,10,10,10,10,WT,E2.2
BD45-136,10,10,10,10,10,10,10,10,10,WT,E2.2
BD45-137,0.3061,1.918,10,10,10,10,10,10,10,WT,E2.1
BD45-139,10,10,10,10,10,10,10,10,10,WT,F2
BD45-140,10,10,10,10,10,10,10,10,10,WT,F2
BD45-141,0.633165,NA,NA,NA,10,NA,10,NA,NA,WT,E2.2
BD45-142,0.0215,10,10,10,10,10,10,10,10,WT,A
BD45-143,10,10,10,10,10,10,10,10,10,WT,D1
BD45-144,0.0869312,0.916017,10,10,1.12207,1.02766,10,10,10,WT,F2
BD45-145,0.0054,0.0628,NA,NA,1.1641,0.84292,0.73254,NA,NA,WT,E1
BD45-146,0.0156,10,10,10,10,10,10,10,10,WT,A
BD45-147,0.0655,0.226644,0.3142,0.226644,10,0.210734,1.43262,2.2497,0.1982058,WT,E2.2
BD45-148,0.0748,10,10,10,10,10,10,10,10,WT,C
BD45-149,0.5508,10,10,10,10,10,10,10,10,WT,F2
BD45-150,0.039,10,10,10,10,10,10,10,10,WT,C
BD45-151,10,10,10,NA,NA,10,10,NA,NA,WT,F2
BD45-152,0.000747166,0.000604084,0.00086911,0.001091,10,0.00177418,0.000762476,0.0008621,0.00098462,WT,D2
BD45-154,0.0025,10,10,10,10,10,10,10,10,WT,A
BD45-157,0.0044,1.9734,2.09224,1.713,10,2.49645,1.53011,4.34294,1.662,WT,A
BD45-158,0.4708,10,0.930624,10,10,10,1.152432,0.973096,0.839079,WT,D2
BD45-159,0.5799,10,10,10,10,10,10,10,10,WT,A
BD45-160,1.07033,4.3001,2.28309,3.291,10,7.3123,10,10,2.082,WT,D1
BD45-161,0.0056,10,10,10,10,10,10,10,10,WT,C
BD45-162,0.0146,10,10,10,10,10,10,10,10,WT,C
BD45-163,0.0199,10,10,10,10,10,10,10,10,WT,A
BD45-164,0.0054,10,10,10,10,10,10,10,10,WT,C
BD45-166,0.0106,10,10,10,10,10,10,10,10,WT,C
BD45-167,0.0827,0.085,0.0750159,0.081,10,10,0.432764,10,0.0739006,WT,D1
BD45-169,0.0616,10,10,10,10,10,10,10,10,WT,A
BD45-170,10,10,10,10,10,10,10,10,10,WT,D1
BD45-171,0.0095,10,10,10,10,10,10,10,10,WT,C
BD45-172,0.680759,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD45-173,0.0847,10,10,10,10,10,10,10,10,WT,A
BD45-175,0.1056,0.5432,0.447612,0.3912,10,0.26723,0.468338,10,0.280555,WT,E2.1
BD45-176,0.5898,10,10,10,10,10,10,10,10,WT,D1
BD45-177,0.4745,10,10,10,10,10,10,10,10,WT,A
BD45-178,0.1277,10,10,10,10,10,10,10,10,WT,A
BD45-180,0.681,10,10,10,10,10,10,10,10,WT,F2
BD45-181,0.789666,10,10,10,0.103561,10,10,10,10,SARS,F2
BD45-182,10,10,10,10,10,10,10,10,10,WT,F3
BD45-183,10,10,10,10,10,10,10,10,10,WT,F3
BD45-184,10,10,10,10,10,10,10,10,10,WT,C
BD45-185,10,10,10,10,10,10,10,10,10,WT,C
BD45-186,0.213,10,10,10,10,10,10,10,10,WT,A
BD45-187,1.3552,2.88,3.29455,2.46717,10,7.14615,2.21339,2.85918,2.01,WT,E2.2
BD45-188,1.1645,10,10,10,10,10,10,10,10,WT,C
BD45-189,2.1924,10,10,10,10,10,10,10,10,WT,D1
BD45-190,10,10,10,NA,NA,10,10,NA,NA,SARS,E3
BD45-191,1.25261,NA,NA,NA,0.0412192,NA,4.47124,NA,NA,SARS,F2
BD45-192,10,10,10,10,10,10,10,10,10,WT,C
BD45-193,10,10,10,10,10,10,10,10,10,WT,D1
BD45-194,5.27705,10,10,10,10,10,10,10,10,WT,C
BD45-195,1.3612,10,10,NA,10,10,10,NA,10,WT,E3
BD45-196,2.9597,10,10,10,10,10,10,10,10,WT,C
BD45-197,10,NA,NA,NA,NA,NA,10,NA,NA,SARS,F1
BD45-198,3.04012,10,10,10,10,10,10,10,10,WT,C
BD45-199,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD45-201,0.0577,10,10,10,10,10,10,10,10,WT,C
BD45-206,10,10,10,10,10,10,10,10,10,WT,E2.2
BD45-208,10,10,10,10,10,10,10,10,10,WT,D1
BD45-209,1.039,10,10,10,10,10,10,10,10,WT,D1
BD45-211,10,10,10,NA,10,10,10,NA,NA,WT,E2.1
BD45-212,5.56612,10,10,NA,10,10,10,NA,10,WT,E3
BD45-214,0.0301,10,10,10,10,10,10,10,10,WT,C
BD45-215,0.009,10,10,10,10,10,10,10,10,WT,B
BD45-216,0.0151,10,10,10,10,10,10,10,10,WT,C
BD45-218,0.0182,10,10,10,10,10,10,10,10,WT,C
BD45-219,0.0184,10,10,10,10,10,10,10,10,WT,C
BD45-221,0.0121,10,10,10,10,10,10,10,10,WT,C
BD45-222,0.0265,10,10,10,10,10,10,10,10,WT,B
BD45-223,0.4079,10,10,10,10,10,10,10,10,WT,C
BD45-225,0.0622,10,10,10,10,10,10,10,10,WT,B
BD45-227,0.001301,NA,NA,NA,10,NA,0.1004202,NA,NA,WT,B
BD45-228,0.00237412,NA,NA,NA,10,NA,0.0204096,NA,NA,WT,B
BD45-230,0.0067,10,10,10,10,10,10,10,10,WT,A
BD45-231,0.0216727,NA,NA,NA,10,NA,1.29815,NA,NA,WT,A
BD45-232,0.0017,10,10,10,10,10,10,10,10,WT,C
BD45-233,0.0091,2.6,3.981,3.89,10,3.345,5.03668,10,4.91,WT,A
BD45-234,0.0214,10,10,10,10,10,10,10,10,WT,C
BD45-235,0.0164,10,10,10,10,10,10,10,10,WT,A
BD45-239,0.2377,10,10,10,10,10,10,10,10,WT,C
BD45-240,0.462,10,10,10,10,10,10,10,10,WT,B
BD45-241,0.0014,0.146,0.193308,0.178587,10,0.114496,0.202043,10,0.167276,WT,B
BD45-242,0.1865,10,10,10,10,10,10,10,10,WT,C
BD45-243,0.6134,10,10,10,10,10,10,10,10,WT,E2.1
BD45-245,10,10,10,10,10,10,10,10,10,WT,C
BD45-246,0.00672038,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD45-247,0.0079,0.187,1.091132,0.67898,10,0.3456,0.952962,10,0.77546,WT,B
BD45-248,10,10,10,10,10,10,10,10,10,WT,E2.1
BD45-249,0.3238,10,NA,NA,10,NA,10,NA,NA,WT,C
BD45-250,0.6595,10,10,10,10,10,10,10,10,WT,A
BD45-251,0.245795,NA,NA,NA,10,NA,10,NA,NA,WT,E2.2
BD45-252,4.28005,10,10,10,10,10,10,10,10,WT,D1
BD45-253,1.00953,NA,NA,NA,10,NA,10,NA,NA,WT,F2
BD45-254,0.6721,10,10,10,10,10,10,10,10,WT,A
BD45-255,0.016717,NA,NA,NA,10,NA,6.81703,NA,NA,WT,A
BD45-256,1.5297,10,10,10,10,10,10,10,10,WT,D1
BD45-258,0.279,9.7,10,10,10,10,10,10,10,WT,B
BD45-259,0.0031,10,10,10,10,10,10,10,10,WT,C
BD45-262,0.0249,10,10,10,10,10,10,10,10,WT,C
BD45-263,0.0024,10,10,10,10,10,10,10,10,WT,D2
BD45-264,0.5093,10,10,10,10,10,10,10,10,WT,D2
BD45-265,10,10,10,10,10,10,10,10,10,WT,D2
BD45-267,0.0602,10,10,10,10,10,10,10,10,WT,A
BD45-269,0.966222,NA,NA,NA,10,NA,10,NA,NA,WT,F2
BD45-270,0.5839,5.2,10,10,10,10,10,10,10,WT,F2
BD45-271,10,10,10,NA,NA,10,10,NA,NA,WT,F2
BD45-272,10,10,10,NA,10,10,10,NA,NA,WT,F2
BD45-274,10,10,10,NA,10,10,10,NA,10,WT,E3
BD45-275,0.424,10,10,10,6.0657,10,10,10,10,WT,F2
BD45-277,0.579395,NA,NA,NA,10,NA,1.77432,NA,NA,WT,F2
BD45-278,0.00458154,0.3216,10,10,0.51153,0.260145,10,10,10,WT,F2
BD45-279,0.2999,10,10,10,0.0085,10,10,10,10,WT,F2
BD45-280,1.519,10,10,10,10,10,10,10,10,WT,F2
BD45-282,0.00618713,NA,NA,NA,0.272241,NA,10,NA,NA,WT,F3
BD45-283,0.010699146,0.978863274,10,6.22568,0.00167028,0.990608,10,10,10,SARS,F3
BD45-284,0.0172,0.0108,0.01982,0.01622,0.108,0.01693,0.01302,5.221,0.01572,WT,B
BD55-13,0.588,10,10,10,10,10,10,10,10,WT,D1
BD55-37,1.113,10,0.645681,10,10,10,10,10,0.9872,WT,E1
BD55-40,0.493,10,10,10,10,10,10,10,10,WT,C
BD55-62,0.314,4.3656,NA,NA,10,2.49185,2.201014,NA,NA,WT,E2.2
BD55-63,0.272,10,10,10,10,10,10,10,10,WT,A
BD55-64,0.394,10,10,10,10,10,10,10,10,WT,A
BD55-65,10,10,10,10,10,10,10,10,10,WT,E2.2
BD55-72,0.476,10,10,10,10,10,10,10,10,WT,F2
BD55-78,0.468,10,10,10,10,10,10,10,10,WT,F1
BD55-83,0.104,0.1253,0.12334,0.109237,10,0.1383428,0.0941542,0.96328,0.1192,WT,E2.1
BD55-85,0.006,10,10,10,10,10,10,10,10,WT,A
BD55-95,0.006,0.199085,0.110511,0.1333,10,0.1377117,0.1278761,4.646544,0.178,WT,A
BD55-102,10,10,10,10,10,10,10,10,10,WT,A
BD55-109,0.469,10,10,10,10,10,10,10,10,WT,A
BD55-113,0.954,6.56535,8.903,5.932,10,7.66116,6.80097,7.12006,9.92,WT,E3
BD55-114,0.0522997,0.150737,0.138011,0.1329,10,0.105145,0.0967461,0.898707,0.1277,WT,E2.1
BD55-118,0.188,0.2134,0.206967,0.1883,10,0.122912,10,10,0.699,WT,E2.2
BD55-121,0.473,3.98778,10,10,0.234627,9.78556,10,10,10,WT,F1
BD55-125,0.08,NA,NA,NA,10,NA,10,NA,NA,WT,E2.2
BD55-126,0.062,NA,NA,NA,10,NA,10,NA,NA,WT,E2.2
BD55-128,0.926,NA,NA,NA,10,NA,10,NA,NA,WT,E2.1
BD55-137,0.003,10,10,10,10,10,10,10,10,WT,B
BD55-141,0.002,0.030919,0.040011,0.051982,10,0.0271058,0.027795,10,0.03783,WT,B
BD55-160,0.004,10,10,10,10,10,10,10,10,WT,C
BD55-161,0.104,10,10,10,10,10,10,10,10,WT,C
BD55-166,0.25,3.1922,2.41584,2.20012,10,4.16634,10,10,6.392,WT,E2.2
BD55-171,0.103,2.642865,10,10,0.7533,1.65716,10,10,10,WT,F2
BD55-174,0.134585,0.151335,0.160553,0.163,10,0.1567727,0.157,0.3535,0.127255,WT,D1
BD55-175,0.448,1.34594,1.84505,1.678378,10,0.823197,1.782,10,1.982,WT,B
BD55-177,0.013,10,10,10,10,10,10,10,10,WT,B
BD55-179,0.455,1.307745,3.14366,4.2012,10,1.26711,2.350716,3.26762,2.99229,WT,E3
BD55-182,0.002,3.102,0.0161438,2.01,10,2.63434,0.01962,0.0142543,0.017712,WT,D2
BD55-183,0.007,NA,NA,NA,10,NA,0.159914,NA,NA,WT,A
BD55-185,0.26,0.8376,2.08601,1.9921,10,2.47129,2.294142,2.72752,2.8812,WT,E3
BD55-187,1.55,10,10,10,10,10,10,10,10,WT,D2
BD55-188,0.022,NA,NA,NA,10,NA,0.204782,NA,NA,WT,E2.2
BD55-189,4.18,NA,NA,NA,NA,NA,10,NA,NA,WT,E2.2
BD55-191,10,10,10,10,10,10,10,10,10,WT,D2
BD55-192,0.003,10,10,10,10,10,10,10,10,WT,A
BD55-194,0.029,10,0.034253,10,10,10,0.0434546,0.0437718,0.0341724,WT,D1
BD55-196,0.256,0.87717,0.738814,0.68238,10,0.622477,1.10959,5.521254,1.092,WT,E2.1
BD55-197,0.012,0.0289353,0.0199677,0.016273,10,0.0155807,0.01478301,0.01455439,0.0133033,WT,D1
BD55-198,10,10,10,NA,NA,10,10,NA,NA,WT,F1
BD55-203,0.04,10,10,10,10,10,10,10,10,WT,B
BD55-205,0.005,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD55-206,0.001,0.0383,0.0728711,0.05612,10,0.0439581,0.050214,5.125026,0.0305882,WT,B
BD55-207,0.017,NA,NA,NA,10,NA,10,NA,NA,WT,B
BD55-213,3.84,10,10,10,10,10,10,10,10,WT,F1
BD55-216,10,10,10,NA,NA,10,9.33106,NA,NA,WT,E2.2
BD55-219,10,10,10,10,10,10,10,10,10,WT,E2.2
BD55-233,10,10,10,10,10,10,10,10,10,WT,E3
BD55-234,0.016,0.7843,0.003122,0.0526,10,0.506991,0.0565047,0.0856663,0.00181007,WT,D1
BD55-240,0.007,10,10,10,10,10,10,10,10,WT,C
BD55-267,0.005,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD55-268,0.005,NA,NA,NA,10,NA,10,NA,NA,WT,B
BD55-269,0.052,10,10,10,0.2258,10,10,10,10,WT,F2
BD55-270,0.009,10,10,10,10,10,10,10,10,WT,C
BD55-271,0.113,NA,NA,NA,10,NA,0.1129318,NA,NA,WT,E2.2
BD55-272,0.246,10,NA,NA,10,10,10,NA,NA,WT,F2
BD55-274,0.002,0.190045,0.348377,0.4829,10,0.186209,0.43806,0.411072,0.320808,WT,E1
BD55-276,0.017,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD55-277,0.063,0.2963,0.344613,0.6583,10,10,0.48231,0.46781,0.41624,WT,E1
BD55-282,0.014,0.964522,1.39842,1.763,10,2.29866,1.286184,10,1.180375,WT,B
BD55-283,0.328,10,10,10,10,10,10,10,10,WT,E2.2
BD55-284,0.012,0.0713,0.0459549,0.049238,10,0.0362597,0.216074,10,0.0384213,WT,E2.1
BD55-285,0.008,10,10,10,10,10,10,10,10,WT,A
BD55-286,1.693,1.409925,10,10,10,1.4603,10,10,10,WT,F2
BD55-287,1.048,2.83215,2.82624,3.34,10,2.97001,1.69464,3.912,2.912,WT,F2
BD55-288,0.005,10,10,10,10,10,10,10,10,WT,D1
BD55-292,0.039,10,10,10,10,10,10,10,10,WT,B
BD55-293,0.426,1.2151,0.752868,1.277955,10,3.765,2.47994,10,1.89912,WT,E2.1
BD55-300,0.005,10,10,10,10,10,10,10,10,WT,A
BD55-302,0.074,0.0612,0.0623201,0.0912,10,2.12463,10,10,5.392,WT,E2.1
BD55-311,0.469,1.89138,1.27626,0.992873,10,3.234,1.25277,10,1.65273,WT,E2.1
BD55-316,0.230286,10,10,10,10,10,10,10,10,WT,F2
BD55-319,10,10,10,10,10,10,10,10,10,WT,F2
BD55-347,0.36168,2.459865,10,10,0.0474677,2.72389,10,10,10,WT,F2
BD55-387,0.5352,1.569,0.878469,1.4572,10,2.315,0.932799,0.756818,0.80129,WT,D2
BD55-389,10,10,10,10,2.54636,10,10,10,10,WT,F2
BD55-547,1.92439,10,10,10,10,10,10,10,10,WT,F2
BD55-556,0.015241,10,10,10,10,10,10,10,10,WT,B
BD55-557,10,10,10,10,10,10,10,10,10,WT,F1
BD55-583,10,10,10,10,10,10,10,10,10,WT,E3
BD55-587,10,10,10,10,10,10,10,10,10,WT,F1
BD55-593,10,10,10,10,10,10,10,10,10,WT,E3
BD55-599,10,10,10,10,10,10,10,10,10,WT,E3
BD55-600,0.0654829,10,10,10,10,10,10,10,10,WT,A
BD55-603,10,10,10,10,10,10,10,10,10,WT,F1
BD55-632,0.661796,0.213695,NA,NA,0.020072,2.67146,10,NA,NA,WT,F2
BD55-659,0.0731358,0.588743,10,10,0.00813569,1.10231,10,10,10,WT,F2
BD55-676,1.57167,10,10,10,10,10,10,10,10,WT,F2
BD55-688,1.33459,2.64029,10,10,10,10,10,10,10,WT,F2
BD55-711,3.99968,10,10,10,10,10,10,10,10,WT,F2
BD55-742,10,10,10,NA,NA,10,10,NA,NA,WT,F1
BD55-745,10,10,10,10,10,10,10,10,10,WT,E3
BD55-746,0.8075,2.39178,1.10237,2.912,0.193667,4.22829,1.5817,0.993406,1.98273,WT,F1
BD55-747,0.305299,3.17621,10,10,10,3.94532,10,10,10,WT,F2
BD55-749,1.04167,4.49966,6.01924,5.9192,10,6.02571,4.57029,6.21164,3.912,WT,E3
BD55-751,1.6821,10,10,10,10,10,10,10,10,WT,E3
BD55-822,0.122645,1.33574,10,10,2.13582,1.53894,10,10,10,WT,F2
BD55-885,0.454991,3.58122,NA,NA,0.149303,4.26698,10,NA,NA,WT,F2
BD55-888,10,10,10,10,10,10,10,10,10,WT,F1
BD55-925,10,10,10,10,10,10,10,10,10,WT,F1
BD55-948,0.162411,1.07611,10,10,0.0027393,0.939471,10,10,10,WT,F2
BD55-1004,0.731495,10,NA,NA,0.277071,10,10,NA,NA,WT,F1
BD55-1009,0.00195497,10,0.0158325,10,10,10,10,10,0.10928,WT,D1
BD55-1027,1.14392,2.4019,7.245,7.293,10,5.74054,4.2411,7.30779,5.023,WT,E3
BD55-1028,10,10,10,10,10,10,10,10,10,WT,F1
BD55-1029,0.125751,NA,NA,NA,10,NA,0.490032,NA,NA,WT,E2.1
BD55-1034,10,10,10,10,10,10,10,10,10,WT,E3
BD55-1038,10,4.40332,10,10,10,10,10,10,10,WT,F1
BD55-1039,0.13376,1.68741,0.244148,1.129932,10,10,0.388484,0.412,0.228273,WT,D1
BD55-1041,1.68357,0.935079,NA,NA,10,0.705734,0.553353,NA,NA,WT,E3
BD55-1049,0.0476874,10,10,10,10,10,10,10,10,WT,C
BD55-1051,0.00138572,10,10,10,10,10,10,10,10,WT,C
BD55-1061,0.00714,NA,NA,NA,10,NA,0.0918039,NA,NA,WT,A
BD55-1064,0.455439,10,10,10,0.365406,10,10,10,10,WT,F1
BD55-1065,0.00132003,NA,NA,NA,10,NA,10,NA,NA,WT,C
BD55-1070,10,10,10,10,0.777554,10,10,10,10,WT,F1
BD55-1073,0.0157106,NA,NA,NA,10,NA,10,NA,NA,WT,E2.1
BD55-1075,0.0344482,10,10,10,0.00737259,10,10,10,10,WT,F2
BD55-1078,0.00051946,NA,NA,NA,10,NA,10,NA,NA,WT,C
